x,u_a,u_n,u_erro
-1,4.505223986146794e-17,0,4.505223986146794e-17
-0.9750000238418579,0.0288634616881609,0.02884223498404026,2.122670412063599e-05
-0.949999988079071,0.05754903703927994,0.05750664696097374,4.239007830619812e-05
-0.925000011920929,0.08587973564863205,0.08581651747226715,6.321817636489868e-05
-0.8999999761581421,0.1136810258030891,0.1135972961783409,8.372962474822998e-05
-0.875,0.1407813727855682,0.1406777054071426,0.0001036673784255981
-0.8500000238418579,0.1670137494802475,0.1668907999992371,0.000122949481010437
-0.824999988079071,0.1922165006399155,0.1920749545097351,0.0001415461301803589
-0.800000011920929,0.216234102845192,0.2160748988389969,0.0001592040061950684
-0.7749999761581421,0.2389186173677444,0.2387426793575287,0.0001759380102157593
-0.75,0.2601300477981567,0.2599385380744934,0.0001915097236633301
-0.7250000238418579,0.2797377109527588,0.2795317471027374,0.0002059638500213623
-0.699999988079071,0.2976207435131073,0.2974015772342682,0.0002191662788391113
-0.6749999523162842,0.313668817281723,0.3134378492832184,0.0002309679985046387
-0.6499999761581421,0.3277829885482788,0.3275416493415833,0.0002413392066955566
-0.625,0.3398762941360474,0.3396260440349579,0.0002502501010894775
-0.6000000238418579,0.3498741388320923,0.3496165573596954,0.0002575814723968506
-0.574999988079071,0.3577149212360382,0.3574515283107758,0.0002633929252624512
-0.5499999523162842,0.3633502423763275,0.3630827069282532,0.0002675354480743408
-0.5249999761581421,0.3667454123497009,0.366475373506546,0.0002700388431549072
-0.5,0.3678794503211975,0.3676085770130157,0.0002708733081817627
-0.4749999642372131,0.3667454123497009,0.366475373506546,0.0002700388431549072
-0.449999988079071,0.3633502423763275,0.3630827069282532,0.0002675354480743408
-0.425000011920929,0.3577149212360382,0.3574515283107758,0.0002633929252624512
-0.3999999761581421,0.3498741388320923,0.3496165573596954,0.0002575814723968506
-0.375,0.3398762941360474,0.3396260440349579,0.0002502501010894775
-0.3499999642372131,0.3277829587459564,0.3275416493415833,0.0002413094043731689
-0.324999988079071,0.3136687874794006,0.3134378492832184,0.000230938196182251
-0.300000011920929,0.2976207435131073,0.2974015772342682,0.0002191662788391113
-0.2749999761581421,0.2797377109527588,0.2795317471027374,0.0002059638500213623
-0.25,0.2601300477981567,0.2599385380744934,0.0001915097236633301
-0.2249999642372131,0.2389185577630997,0.2387426793575287,0.0001758784055709839
-0.199999988079071,0.216234102845192,0.2160748988389969,0.0001592040061950684
-0.175000011920929,0.1922165006399155,0.1920749545097351,0.0001415461301803589
-0.1499999761581421,0.1670137494802475,0.1668907999992371,0.000122949481010437
-0.125,0.1407813727855682,0.1406777054071426,0.0001036673784255981
-0.09999996423721313,0.1136809661984444,0.1135972961783409,8.367002010345459e-05
-0.07499998807907104,0.08587973564863205,0.08581651747226715,6.321817636489868e-05
-0.05000001192092896,0.05754903703927994,0.05750664696097374,4.239007830619812e-05
-0.02499997615814209,0.0288634616881609,0.02884223498404026,2.122670412063599e-05
0,-0,-7.142225858615879e-19,7.142225858615879e-19
0.02499997615814209,-0.0288634616881609,-0.02884223498404026,2.122670412063599e-05
0.05000007152557373,-0.05754910781979561,-0.05750664696097374,4.24608588218689e-05
0.07500004768371582,-0.08587980270385742,-0.08581651747226715,6.3285231590271e-05
0.1000000238418579,-0.1136810258030891,-0.1135972961783409,8.372962474822998e-05
0.125,-0.1407813727855682,-0.1406777054071426,0.0001036673784255981
0.1499999761581421,-0.1670137494802475,-0.1668907999992371,0.000122949481010437
0.1750000715255737,-0.1922165602445602,-0.1920749545097351,0.0001416057348251343
0.2000000476837158,-0.2162341624498367,-0.2160748988389969,0.0001592636108398438
0.2250000238418579,-0.2389186173677444,-0.2387426793575287,0.0001759380102157593
0.25,-0.2601300477981567,-0.2599385380744934,0.0001915097236633301
0.2749999761581421,-0.2797377109527588,-0.2795317471027374,0.0002059638500213623
0.3000000715255737,-0.2976207733154297,-0.2974015772342682,0.000219196081161499
0.3250000476837158,-0.313668817281723,-0.3134378492832184,0.0002309679985046387
0.3500000238418579,-0.3277829885482788,-0.3275416493415833,0.0002413392066955566
0.375,-0.3398762941360474,-0.3396260440349579,0.0002502501010894775
0.3999999761581421,-0.3498741388320923,-0.3496165573596954,0.0002575814723968506
0.4250000715255737,-0.3577149212360382,-0.3574515283107758,0.0002633929252624512
0.4500000476837158,-0.3633502423763275,-0.3630827069282532,0.0002675354480743408
0.4750000238418579,-0.3667454123497009,-0.3664753437042236,0.0002700686454772949
0.5,-0.3678794503211975,-0.3676085472106934,0.0002709031105041504
0.5249999761581421,-0.3667454123497009,-0.3664753437042236,0.0002700686454772949
0.5500000715255737,-0.3633502423763275,-0.3630826771259308,0.0002675652503967285
0.5750000476837158,-0.3577148914337158,-0.3574514985084534,0.0002633929252624512
0.6000000238418579,-0.3498741388320923,-0.349616527557373,0.0002576112747192383
0.625,-0.3398762941360474,-0.3396260142326355,0.0002502799034118652
0.6499999761581421,-0.3277829885482788,-0.3275416195392609,0.0002413690090179443
0.6750000715255737,-0.3136687576770782,-0.313437819480896,0.000230938196182251
0.7000000476837158,-0.2976206839084625,-0.2974015474319458,0.0002191364765167236
0.7250000238418579,-0.2797377109527588,-0.279531717300415,0.00020599365234375
0.75,-0.2601300477981567,-0.259938508272171,0.0001915395259857178
0.7749999761581421,-0.2389186173677444,-0.2387426495552063,0.000175967812538147
0.8000000715255737,-0.2162340432405472,-0.2160748839378357,0.0001591593027114868
0.8250000476837158,-0.1922164410352707,-0.1920749396085739,0.0001415014266967773
0.8500000238418579,-0.1670137494802475,-0.1668907850980759,0.0001229643821716309
0.875,-0.1407813727855682,-0.1406776905059814,0.000103682279586792
0.8999999761581421,-0.1136810258030891,-0.1135972812771797,8.374452590942383e-05
0.9250000715255737,-0.08587966859340668,-0.08581650257110596,6.316602230072021e-05
0.9500000476837158,-0.05754896998405457,-0.05750664323568344,4.232674837112427e-05
0.9750000238418579,-0.0288634616881609,-0.02884223125874996,2.123042941093445e-05
1,-4.505223986146794e-17,0,4.505223986146794e-17
