x,u_n
0,0
0.005,0.01222009783866638
0.01,0.02443957453579926
0.015,0.03665767139166855
0.02,0.04887363564089874
0.025,0.06108673994771833
0.03,0.07329627023320037
0.035,0.08550151339357383
0.04,0.09770175369309612
0.045,0.1098962686243141
0.05,0.122084328471771
0.055,0.134265198954951
0.06,0.146438138726658
0.065,0.1586024009415642
0.07000000000000001,0.1707572319988085
0.075,0.1829018718587014
0.08,0.195035551493389
0.08500000000000001,0.2071574912425481
0.09,0.2192669056215442
0.095,0.2313629966295305
0.1,0.2434449550754319
0.105,0.2555119612914914
0.11,0.2675631841320548
0.115,0.2795977779425776
0.12,0.2916148781246194
0.125,0.3036136131938507
0.13,0.3155930908550839
0.135,0.3275524054107245
0.14,0.339490630638951
0.145,0.3514068172226392
0.15,0.3633000016328728
0.155,0.375169205570602
0.16,0.3870134145782991
0.165,0.3988316000300737
0.17,0.4106226964846754
0.175,0.4223856234673193
0.18,0.4341192708994494
0.185,0.4458225040854015
0.19,0.4574941488868227
0.195,0.4691329883473599
0.2,0.4807377829161924
0.205,0.4923072692958768
0.21,0.5038401269038746
0.215,0.5153350011309692
0.22,0.5267904860938863
0.225,0.5382051359936405
0.23,0.5495774572761235
0.235,0.5609058850316919
0.24,0.5721888609640255
0.245,0.5834246912153334
0.25,0.5946116440195008
0.255,0.605747955838822
0.26,0.6168317742103099
0.265,0.6278611504300891
0.27,0.6388340696664782
0.275,0.6497484533243747
0.28,0.6606021178476805
0.285,0.6713927676116207
0.29,0.6821180326457974
0.295,0.6927754266459816
0.3,0.7033623304458505
0.305,0.7138760054526765
0.31,0.724313588911743
0.315,0.7346720623122788
0.32,0.744948263584594
0.325,0.755138850078053
0.33,0.7652402959594383
0.335,0.7752488763109117
0.34,0.7851606630962422
0.345,0.7949715049310598
0.35,0.8046769860136962
0.355,0.8142724146799768
0.36,0.823752809284256
0.365,0.8331128547603798
0.37,0.8423468888783279
0.375,0.8514488468049299
0.38,0.8604122338750072
0.385,0.8692300790101198
0.39,0.8778948905556995
0.395,0.886398586032815
0.4,0.894732426648711
0.405,0.902886935092125
0.41,0.9108518553547011
0.415,0.9186159220646577
0.42,0.9261669336444044
0.425,0.9334914234692944
0.43,0.9405746620604706
0.435,0.9474002587707812
0.44,0.9539502047857077
0.445,0.9602041742032092
0.45,0.9661398608265402
0.455,0.9717314162975944
0.46,0.9769508185857687
0.465,0.9817640665608115
0.47,0.9861357834599569
0.475,0.9900188674008374
0.48,0.9933692532624949
0.485,0.9961154873364746
0.49,0.9982068856907916
0.495,0.9995186078434873
0.5,0.0001696644737745712
0.505,-0.9995186078434758
0.51,-0.9982068856907916
0.515,-0.9961154873364666
0.52,-0.9933692532624949
0.525,-0.9900188674008321
0.53,-0.9861357834599596
0.535,-0.9817640665608115
0.54,-0.9769508185857687
0.545,-0.9717314162975944
0.55,-0.9661398608265402
0.555,-0.9602041742032092
0.5600000000000001,-0.9539502047857077
0.5650000000000001,-0.9474002587707812
0.5700000000000001,-0.9405746620604679
0.5750000000000001,-0.9334914234692944
0.58,-0.9261669336444044
0.585,-0.9186159220646577
0.59,-0.9108518553547011
0.595,-0.902886935092125
0.6,-0.894732426648711
0.605,-0.886398586032815
0.61,-0.8778948905556995
0.615,-0.8692300790101198
0.62,-0.8604122338750072
0.625,-0.8514488468049299
0.63,-0.8423468888783279
0.635,-0.8331128547603798
0.64,-0.823752809284256
0.645,-0.8142724146799768
0.65,-0.8046769860136962
0.655,-0.7949715049310598
0.66,-0.7851606630962449
0.665,-0.7752488763109117
0.67,-0.7652402959594383
0.675,-0.755138850078053
0.68,-0.744948263584594
0.6850000000000001,-0.7346720623122788
0.6900000000000001,-0.724313588911743
0.6950000000000001,-0.7138760054526765
0.7000000000000001,-0.7033623304458505
0.705,-0.6927754266459816
0.71,-0.6821180326457974
0.715,-0.6713927676116207
0.72,-0.6606021178476805
0.725,-0.6497484533243747
0.73,-0.6388340696664782
0.735,-0.6278611504300891
0.74,-0.6168317742103099
0.745,-0.605747955838822
0.75,-0.5946116440195008
0.755,-0.5834246912153334
0.76,-0.5721888609640255
0.765,-0.5609058850316919
0.77,-0.5495774572761235
0.775,-0.5382051359936405
0.78,-0.5267904860938863
0.785,-0.5153350011309692
0.79,-0.5038401269038746
0.795,-0.4923072692958768
0.8,-0.4807377829161924
0.805,-0.4691329883473599
0.8100000000000001,-0.4574941488868227
0.8150000000000001,-0.4458225040854015
0.8200000000000001,-0.4341192708994494
0.8250000000000001,-0.4223856234673193
0.8300000000000001,-0.4106226964846754
0.835,-0.3988316000300737
0.84,-0.3870134145782991
0.845,-0.375169205570602
0.85,-0.3633000016328728
0.855,-0.3514068172226392
0.86,-0.339490630638951
0.865,-0.3275524054107245
0.87,-0.3155930908550839
0.875,-0.3036136131938507
0.88,-0.2916148781246194
0.885,-0.2795977779425776
0.89,-0.2675631841320548
0.895,-0.2555119612914914
0.9,-0.2434449550754319
0.905,-0.2313629966295305
0.91,-0.2192669056215442
0.915,-0.2071574912425481
0.92,-0.195035551493389
0.925,-0.1829018718587014
0.93,-0.1707572319988079
0.9350000000000001,-0.1586024009415642
0.9400000000000001,-0.146438138726658
0.9450000000000001,-0.134265198954951
0.9500000000000001,-0.122084328471771
0.9550000000000001,-0.1098962686243141
0.96,-0.09770175369309612
0.965,-0.08550151339357383
0.97,-0.07329627023320037
0.975,-0.06108673994771849
0.98,-0.04887363564089874
0.985,-0.0366576713916688
0.99,-0.0244395745357991
0.995,-0.01222009783866641
1,0
